cat_periodo,mrun,gen_alu,fec_nac_alu,rango_edad,anio_ing_carr_ori,sem_ing_carr_ori,fecha_obtencion_titulo,tipo_inst_1,tipo_inst_2,cod_inst,nomb_inst,cod_carrera,nomb_carrera,nivel_global,nivel_carrera_1,nivel_carrera_2,dur_estudio_carr,dur_proceso_tit,dur_total_carr,region_sede,provincia_sede,comuna_sede,jornada,modalidad,tipo_plan_carr,area_conocimiento,area_generica,cine_f_13_area,cine_f_13_subarea,anio_titulo,mes_titulo,semestre_titulo,duracion_real_sem,edad_titulacion,edad_ingreso,sobreduracion_sem,indice_duracion,titulacion_oportuna,categoria_rezago,genero,cohorte_ingreso,es_no_presencial,atipico_duracion,atipico_edad,atipico_teorica,es_atipico
2025,12824003,2,200104,20 a 24 Años,2022,1,20250303,Institutos Profesionales,Institutos Profesionales,117,Ip Iacc,62,Tecnico en Trabajo Social,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,5,1,5,Metropolitana,Santiago,Providencia,A Distancia,No Presencial,Plan Regular,Ciencias Sociales,Técnico en Servicio Social,Salud y Bienestar,Bienestar,2025,3,1,7,23,21,2,1.4,False,Rezago leve,Mujer,2022,True,False,False,False,False
2023,11028910,1,199612,25 a 29 Años,2016,1,20230720,Universidades,Universidades Cruch,78,Universidad de Talca,11,Odontologia,Pregrado,Profesional con Licenciatura,Carreras Profesionales,12,1,12,Maule,Talca,Talca,Diurna,Presencial,Plan Regular,Salud,Odontología,Salud y Bienestar,Salud,2023,7,1,15,26,20,3,1.25,False,Rezago moderado,Hombre,2016,False,False,False,False,False
2024,17245854,2,196410,40 y Más Años,2023,1,20240523,Institutos Profesionales,Institutos Profesionales,176,Ip del Valle Central,74,Tecnico de Nivel Superior en Podologia,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,5,1,5,Biobío,Concepcion,Concepcion,Semipresencial,Semipresencial,Plan Especial,Salud,Técnico en Podología,Salud y Bienestar,Salud,2024,5,1,3,59,59,-2,0.6,True,Oportuna,Mujer,2023,False,False,False,False,False
2020,17820637,2,199708,20 a 24 Años,2018,1,20200916,Institutos Profesionales,Institutos Profesionales,143,Ip Aiep,83,Tecnico en Trabajo Social,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,5,1,5,Maule,Talca,Talca,Vespertina,Presencial,Plan Regular,Ciencias Sociales,Técnico en Servicio Social,Salud y Bienestar,Bienestar,2020,9,2,6,23,21,1,1.2,False,Rezago leve,Mujer,2018,False,False,False,False,False
2021,19299098,2,199607,20 a 24 Años,2017,1,20220118,Universidades,Universidades Privadas,19,Universidad de las Americas,104,Trabajo Social,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,0,10,Metropolitana,Santiago,Santiago,Diurna,Presencial,Plan Regular,Ciencias Sociales,Trabajo Social,Salud y Bienestar,Bienestar,2022,1,1,11,25,21,1,1.1,False,Rezago leve,Mujer,2017,False,False,False,False,False
2021,19388726,2,197903,40 y Más Años,2016,1,20211215,Institutos Profesionales,Institutos Profesionales,116,Ip Santo Tomas,4,Servicio Social,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,0,8,Lib. Gral. B. O'Higgins,Cachapoal,Rancagua,Diurna,Presencial,Plan Regular,Ciencias Sociales,Trabajo Social,Salud y Bienestar,Bienestar,2021,12,2,12,42,37,4,1.5,False,Rezago moderado,Mujer,2016,False,False,False,False,False
2024,4846614,2,199907,20 a 24 Años,2018,1,20240517,Institutos Profesionales,Institutos Profesionales,116,Ip Santo Tomas,4,Servicio Social,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,0,8,Biobío,Concepcion,Concepcion,Vespertina,Presencial,Plan Regular,Ciencias Sociales,Trabajo Social,Salud y Bienestar,Bienestar,2024,5,1,13,24,19,5,1.625,False,Rezago severo,Mujer,2018,False,False,False,False,False
2024,8997007,1,198510,35 a 39 Años,2018,1,20240325,Institutos Profesionales,Institutos Profesionales,143,Ip Aiep,664,Ingenieria en Electricidad y Energias Renovables,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,1,8,Maule,Curico,Curico,Vespertina,Presencial,Plan Regular,Tecnología,Ingeniería en Electricidad,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,2024,3,1,13,38,33,5,1.625,False,Rezago severo,Hombre,2018,False,False,False,False,False
2025,9140988,2,199806,25 a 29 Años,2020,1,20250731,Universidades,Universidades Cruch,86,Pontificia Universidad Catolica de Chile,3,Agronomia,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,0,10,Metropolitana,Santiago,Macul,Diurna,Presencial,Plan Regular,Agropecuaria,Agronomía,"Agricultura, Silvicultura, Pesca y Veterinaria",Agricultura,2025,7,1,11,27,22,1,1.1,False,Rezago leve,Mujer,2020,False,False,False,False,False
2022,19968482,2,199701,25 a 29 Años,2016,1,20221214,Universidades,Universidades Cruch,85,Universidad Tecnologica Metropolitana,39,Trabajo Social,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,3,10,Metropolitana,Santiago,Santiago,Diurna,Presencial,Plan Regular,Ciencias Sociales,Trabajo Social,Salud y Bienestar,Bienestar,2022,12,2,14,25,19,4,1.4,False,Rezago moderado,Mujer,2016,False,False,False,False,False
2024,14343006,1,199902,25 a 29 Años,2017,1,20250214,Institutos Profesionales,Institutos Profesionales,111,Ip Duoc Uc,413,Ingenieria en Electricidad y Automatizacion Industrial,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,1,8,Valparaíso,Valparaiso,Valparaiso,Diurna,Presencial,Plan Regular,Tecnología,Ingeniería en Electricidad,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,2025,2,1,17,26,18,9,2.125,False,Rezago severo,Hombre,2017,False,False,False,False,False
2024,23427291,2,199902,25 a 29 Años,2018,1,20240403,Universidades,Universidades Cruch,90,Universidad Austral de Chile,130,Psicologia,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,0,10,Los Lagos,Llanquihue,Puerto Montt,Diurna,Presencial,Plan Regular,Ciencias Sociales,Psicología,"Ciencias Sociales, Periodismo e Información",Ciencias Sociales y del Comportamiento,2024,4,1,13,25,19,3,1.3,False,Rezago moderado,Mujer,2018,False,False,False,False,False
2020,3505259,2,199806,20 a 24 Años,2017,1,20200902,Institutos Profesionales,Institutos Profesionales,143,Ip Aiep,69,Tecnico en Enfermeria Mencion en Urgencia,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,5,1,5,Lib. Gral. B. O'Higgins,Cachapoal,Rancagua,Diurna,Presencial,Plan Regular,Salud,Técnico en Enfermería,Salud y Bienestar,Salud,2020,9,2,8,22,19,3,1.6,False,Rezago moderado,Mujer,2017,False,False,False,False,False
2023,8472232,1,199507,25 a 29 Años,2017,1,20230928,Universidades,Universidades Privadas,31,Universidad Autonoma de Chile,1,Ingenieria Comercial,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,1,10,Metropolitana,Santiago,San Miguel,Vespertina,Presencial,Plan Regular,Administración y Comercio,Ingeniería Comercial,Administración de Empresas y Derecho,Educación Comercial y Administración,2023,9,2,14,28,22,4,1.4,False,Rezago moderado,Hombre,2017,False,False,False,False,False
2020,7162694,2,199602,20 a 24 Años,2015,1,20200904,Universidades,Universidades Cruch,70,Universidad de Chile,864,Trabajo Social,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,0,10,Metropolitana,Santiago,Santiago,Diurna,Presencial,Plan Regular,Ciencias Sociales,Trabajo Social,Salud y Bienestar,Bienestar,2020,9,2,12,24,19,2,1.2,False,Rezago leve,Mujer,2015,False,False,False,False,False
2025,9412551,2,199912,25 a 29 Años,2018,1,20250312,Universidades,Universidades Privadas,19,Universidad de las Americas,229,Fonoaudiologia,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,0,10,Metropolitana,Santiago,Santiago,Diurna,Presencial,Plan Regular,Salud,Fonoaudiología,Salud y Bienestar,Salud,2025,3,1,15,25,19,5,1.5,False,Rezago severo,Mujer,2018,False,False,False,False,False
2022,9327820,2,199605,25 a 29 Años,2018,1,20220624,Institutos Profesionales,Institutos Profesionales,116,Ip Santo Tomas,9,Contador Auditor,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,0,8,Los Lagos,Osorno,Osorno,Vespertina,Presencial,Plan Regular,Administración y Comercio,Contador Auditor,Administración de Empresas y Derecho,Educación Comercial y Administración,2022,6,1,9,26,22,1,1.125,False,Rezago leve,Mujer,2018,False,False,False,False,False
2024,16705076,2,200010,20 a 24 Años,2019,1,20241030,Universidades,Universidades Cruch,71,Universidad de Santiago de Chile,23,Ingenieria Comercial,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,1,10,Metropolitana,Santiago,Estacion Central,Diurna,Presencial,Plan Regular,Administración y Comercio,Ingeniería Comercial,Administración de Empresas y Derecho,Educación Comercial y Administración,2024,10,2,12,24,19,2,1.2,False,Rezago leve,Mujer,2019,False,False,False,False,False
2025,1261113,2,200210,20 a 24 Años,2022,1,20260119,Centros de Formación Técnica,Centros de Formación Técnica,430,Cft Inacap,39,Tecnico en Enfermeria,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,5,0,5,Lib. Gral. B. O'Higgins,Cachapoal,Rancagua,Diurna,Presencial,Plan Regular,Salud,Técnico en Enfermería,Salud y Bienestar,Salud,2026,1,1,9,23,20,4,1.8,False,Rezago moderado,Mujer,2022,False,False,False,False,False
2023,7377973,1,200106,20 a 24 Años,2020,1,20240205,Institutos Profesionales,Institutos Profesionales,111,Ip Duoc Uc,50,Ingenieria en Conectividad y Redes,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,1,8,Metropolitana,Santiago,Providencia,Vespertina,Presencial,Plan Regular,Tecnología,Ingeniería en Conectividad y Redes,Tecnología de la Información y la Comunicación (Tic),Tecnología de la Información y la Comunicación (Tic),2024,2,1,9,22,19,1,1.125,False,Rezago leve,Hombre,2020,False,False,False,False,False
2022,7986626,1,199803,20 a 24 Años,2017,1,20220705,Universidades,Universidades Cruch,70,Universidad de Chile,81,Licenciatura en Filosofia,Pregrado,Licenciatura No Conducente a Título,Carreras Profesionales,8,0,8,Metropolitana,Santiago,Santiago,Diurna,Presencial,Plan Regular,Humanidades,Filosofía,Artes y Humanidades,Humanidades,2022,7,1,11,24,19,3,1.375,False,Rezago moderado,Hombre,2017,False,False,False,False,False
2025,15124147,2,200309,20 a 24 Años,2022,1,20260219,Institutos Profesionales,Institutos Profesionales,111,Ip Duoc Uc,39,Diseño Grafico,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,1,8,Metropolitana,Santiago,Cerrillos,Diurna,Presencial,Plan Regular,Arte y Arquitectura,Diseño Gráfico,Artes y Humanidades,Artes,2026,2,1,9,22,19,1,1.125,False,Rezago leve,Mujer,2022,False,False,False,False,False
2020,4599677,1,199007,25 a 29 Años,2015,1,20200803,Universidades,Universidades Cruch,3,Universidad Diego Portales,153,Ingenieria en Informatica y Gestion,Pregrado,Profesional con Licenciatura,Carreras Profesionales,9,0,9,Metropolitana,Santiago,Santiago,Vespertina,Presencial,Plan Regular,Tecnología,Ingeniería en Computación e Informática,Tecnología de la Información y la Comunicación (Tic),Tecnología de la Información y la Comunicación (Tic),2020,8,2,12,30,25,3,1.333,False,Rezago moderado,Hombre,2015,False,False,False,False,False
2025,14609328,2,199803,25 a 29 Años,2017,1,20251223,Universidades,Universidades Cruch,90,Universidad Austral de Chile,91,Medicina Veterinaria,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,0,10,Los Ríos,Valdivia,Valdivia,Diurna,Presencial,Plan Regular,Agropecuaria,Medicina Veterinaria,"Agricultura, Silvicultura, Pesca y Veterinaria",Veterinaria,2025,12,2,18,27,19,8,1.8,False,Rezago severo,Mujer,2017,False,False,False,False,False
2023,22877548,2,197902,40 y Más Años,2021,1,20230907,Universidades,Universidades Privadas,19,Universidad de las Americas,10,Ingenieria de Ejecucion en Administracion de Empresas,Pregrado,Profesional con Licenciatura,Carreras Profesionales,8,0,8,Metropolitana,Santiago,Providencia,A Distancia,No Presencial,Plan Regular,Administración y Comercio,Administración de Empresas e Ing. Asociadas,Administración de Empresas y Derecho,Educación Comercial y Administración,2023,9,2,6,44,42,-2,0.75,True,Oportuna,Mujer,2021,True,False,False,False,False
2023,23547904,1,199410,25 a 29 Años,2019,1,20230406,Universidades,Universidades Privadas,54,Universidad Tecnologica de Chile Inacap,227,Ingenieria en Administracion de Empresas,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,0,8,Atacama,Copiapo,Copiapo,Vespertina,Presencial,Plan Regular,Administración y Comercio,Administración de Empresas e Ing. Asociadas,Administración de Empresas y Derecho,Educación Comercial y Administración,2023,4,1,9,28,25,1,1.125,False,Rezago leve,Hombre,2019,False,False,False,False,False
2022,23254780,2,199701,25 a 29 Años,2015,1,20220506,Universidades,Universidades Cruch,92,Universidad Catolica del Maule,2,Agronomia,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,0,10,Maule,Curico,Curico,Diurna,Presencial,Plan Regular,Agropecuaria,Agronomía,"Agricultura, Silvicultura, Pesca y Veterinaria",Agricultura,2022,5,1,15,25,18,5,1.5,False,Rezago severo,Mujer,2015,False,False,False,False,False
2021,12200424,2,199911,20 a 24 Años,2018,1,20220121,Institutos Profesionales,Institutos Profesionales,111,Ip Duoc Uc,352,Ingenieria en Comercio Exterior,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,1,8,Biobío,Concepcion,Concepcion,Diurna,Presencial,Plan Regular,Administración y Comercio,Ingeniería en Comercio Exterior,Administración de Empresas y Derecho,Educación Comercial y Administración,2022,1,1,9,22,19,1,1.125,False,Rezago leve,Mujer,2018,False,False,False,False,False
2023,4647849,2,199110,30 a 34 Años,2017,1,20230411,Universidades,Universidades Privadas,7,Universidad Bolivariana,639,Ingenieria Civil en Minas Mencion Seguridad Minera - Continuidad,Pregrado,Profesional con Licenciatura,Carreras Profesionales,4,1,5,Metropolitana,Santiago,Santiago,A Distancia,No Presencial,Plan Regular de Continuidad,Tecnología,Ingeniería Civil en Minas,"Ingeniería, Industria y Construcción",Industria y Producción,2023,4,1,13,31,26,8,2.6,False,Rezago severo,Mujer,2017,True,False,False,False,False
2025,13658281,1,200304,20 a 24 Años,2023,1,20250728,Institutos Profesionales,Institutos Profesionales,111,Ip Duoc Uc,32,Tecnico Agricola,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,5,1,5,Valparaíso,Valparaiso,Valparaiso,Diurna,Presencial,Plan Regular,Agropecuaria,Técnico Agropecuario,"Agricultura, Silvicultura, Pesca y Veterinaria",Agricultura,2025,7,1,5,22,20,0,1.0,True,Oportuna,Hombre,2023,False,False,False,False,False
2022,18208995,1,199611,25 a 29 Años,2015,1,20221222,Universidades,Universidades Cruch,79,Universidad de Atacama,5,Ingenieria Civil en Minas,Pregrado,Profesional con Licenciatura,Carreras Profesionales,12,0,12,Atacama,Copiapo,Copiapo,Diurna,Presencial,Plan Regular,Tecnología,Ingeniería Civil en Minas,"Ingeniería, Industria y Construcción",Industria y Producción,2022,12,2,16,26,19,4,1.333,False,Rezago moderado,Hombre,2015,False,False,False,False,False
2020,18469248,2,199801,20 a 24 Años,2017,1,20210208,Institutos Profesionales,Institutos Profesionales,116,Ip Santo Tomas,4,Servicio Social,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,0,8,Ñuble,Diguillin,Chillan,Diurna,Presencial,Plan Regular,Ciencias Sociales,Trabajo Social,Salud y Bienestar,Bienestar,2021,2,1,9,23,19,1,1.125,False,Rezago leve,Mujer,2017,False,False,False,False,False
2021,12929213,1,199406,25 a 29 Años,2014,1,20210423,Universidades,Universidades Privadas,39,Universidad San Sebastian,8,Medicina,Pregrado,Profesional con Licenciatura,Carreras Profesionales,14,2,14,Biobío,Concepcion,Concepcion,Diurna,Presencial,Plan Regular,Salud,Medicina,Salud y Bienestar,Salud,2021,4,1,15,26,20,1,1.071,False,Rezago leve,Hombre,2014,False,False,False,False,False
2022,2888837,2,199609,25 a 29 Años,2018,1,20220807,Universidades,Universidades Privadas,54,Universidad Tecnologica de Chile Inacap,49,Trabajo Social,Pregrado,Profesional con Licenciatura,Carreras Profesionales,9,0,9,Maule,Talca,Talca,Diurna,Presencial,Plan Regular,Ciencias Sociales,Trabajo Social,Salud y Bienestar,Bienestar,2022,8,2,10,25,22,1,1.111,False,Rezago leve,Mujer,2018,False,False,False,False,False
2021,2830617,2,199608,20 a 24 Años,2015,1,20220225,Institutos Profesionales,Institutos Profesionales,100,Ip Inacap,126,Ingenieria en Minas,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,0,8,Tarapacá,Iquique,Iquique,Diurna,Presencial,Plan Regular,Tecnología,Ingeniería en Minas,"Ingeniería, Industria y Construcción",Industria y Producción,2022,2,1,15,25,19,7,1.875,False,Rezago severo,Mujer,2015,False,False,False,False,False
2020,6090365,2,199607,20 a 24 Años,2016,1,20210218,Universidades,Universidades Cruch,89,Pontificia Universidad Catolica de Valparaiso,22,Pedagogia en Educacion Fisica,Pregrado,Profesional con Licenciatura,Carreras Profesionales,9,0,9,Valparaíso,Valparaiso,Valparaiso,Diurna,Presencial,Plan Regular,Educación,Pedagogía en Educación Física,Educación,Educación,2021,2,1,11,24,20,2,1.222,False,Rezago leve,Mujer,2016,False,False,False,False,False
2022,10247345,2,199505,25 a 29 Años,2017,1,20221026,Universidades,Universidades Cruch,86,Pontificia Universidad Catolica de Chile,200,Psicologia,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,0,10,Metropolitana,Santiago,Macul,Diurna,Presencial,Plan Regular,Ciencias Sociales,Psicología,"Ciencias Sociales, Periodismo e Información",Ciencias Sociales y del Comportamiento,2022,10,2,12,27,22,2,1.2,False,Rezago leve,Mujer,2017,False,False,False,False,False
2021,10418968,1,199710,20 a 24 Años,2018,1,20220117,Institutos Profesionales,Institutos Profesionales,100,Ip Inacap,149,"Ingenieria en Maquinaria, Vehiculos Automotrices y Sistemas Electronicos",Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,0,8,Metropolitana,Cordillera,Puente Alto,Vespertina,Presencial,Plan Regular,Tecnología,Ingeniería en Mecánica Automotriz,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,2022,1,1,9,24,21,1,1.125,False,Rezago leve,Hombre,2018,False,False,False,False,False
2021,10227269,2,199610,20 a 24 Años,2016,1,20211117,Institutos Profesionales,Institutos Profesionales,123,Ip de Chile,24,Fonoaudiologia,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,10,1,10,La Araucanía,Cautin,Temuco,Diurna,Presencial,Plan Regular,Salud,Fonoaudiología,Salud y Bienestar,Salud,2021,11,2,12,25,20,2,1.2,False,Rezago leve,Mujer,2016,False,False,False,False,False
2023,21942637,1,199307,25 a 29 Años,2015,1,20230310,Universidades,Universidades Privadas,10,Universidad Mayor,287,Ingenieria en Logistica,Pregrado,Profesional con Licenciatura,Carreras Profesionales,5,1,5,Metropolitana,Santiago,Providencia,A Distancia,No Presencial,Plan Regular de Continuidad,Administración y Comercio,Ingeniería en Logística,Administración de Empresas y Derecho,Educación Comercial y Administración,2023,3,1,17,29,22,12,3.4,False,Rezago severo,Hombre,2015,True,False,False,False,False
2024,3256720,2,200102,20 a 24 Años,2019,1,20240904,Universidades,Universidades Privadas,45,Universidad del Desarrollo,17,Psicologia,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,0,10,Biobío,Concepcion,Concepcion,Diurna,Presencial,Plan Regular,Ciencias Sociales,Psicología,"Ciencias Sociales, Periodismo e Información",Ciencias Sociales y del Comportamiento,2024,9,2,12,23,18,2,1.2,False,Rezago leve,Mujer,2019,False,False,False,False,False
2020,4147078,2,199902,20 a 24 Años,2018,1,20201008,Centros de Formación Técnica,Centros de Formación Técnica,218,Cft de Enac,10,Tecnico en Enfermeria,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,5,0,5,Metropolitana,Santiago,Santiago,Diurna,Presencial,Plan Regular,Salud,Técnico en Enfermería,Salud y Bienestar,Salud,2020,10,2,6,21,19,1,1.2,False,Rezago leve,Mujer,2018,False,False,False,False,False
2021,15282447,1,199406,25 a 29 Años,2018,1,20210825,Centros de Formación Técnica,Centros de Formación Técnica,430,Cft Inacap,34,Tecnico en Mantenimiento Industrial,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,4,0,4,Biobío,Concepcion,Talcahuano,Diurna,Presencial,Plan Regular,Tecnología,Técnico en Mantenimiento Industrial,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,2021,8,2,8,27,24,4,2.0,False,Rezago moderado,Hombre,2018,False,False,False,False,False
2020,18713646,2,199604,20 a 24 Años,2014,1,20201116,Universidades,Universidades Cruch,79,Universidad de Atacama,162,Tecnico Universitario en Metalurgia,Pregrado,Técnico de Nivel Superior,Carreras Técnicas,4,1,5,Atacama,Huasco,Vallenar,Vespertina,Presencial,Plan Regular,Tecnología,Técnico en Metalurgia,"Ingeniería, Industria y Construcción",Ingeniería y Profesiones Afines,2020,11,2,14,24,18,9,2.8,False,Rezago severo,Mujer,2014,False,False,False,False,False
2024,7163899,2,199507,25 a 29 Años,2017,2,20240617,Institutos Profesionales,Institutos Profesionales,106,Ip Providencia,262,Ingenieria en Administracion Mencion Marketing o Finanzas o Recursos Humanos,Pregrado,Profesional Sin Licenciatura,Carreras Profesionales,8,0,8,Metropolitana,Santiago,Providencia,A Distancia,No Presencial,Plan Regular,Administración y Comercio,Administración de Empresas e Ing. Asociadas,Administración de Empresas y Derecho,Educación Comercial y Administración,2024,6,1,14,28,22,6,1.75,False,Rezago severo,Mujer,2017,True,False,False,False,False
2020,15313927,2,199706,20 a 24 Años,2015,1,20200602,Universidades,Universidades Cruch,87,Universidad de Concepcion,38,Enfermeria,Pregrado,Profesional con Licenciatura,Carreras Profesionales,10,0,10,Biobío,Biobio,Los Angeles,Diurna,Presencial,Plan Regular,Salud,Enfermería,Salud y Bienestar,Salud,2020,6,1,11,23,18,1,1.1,False,Rezago leve,Mujer,2015,False,False,False,False,False
